STOCK (MR) COMPTABILISÉ MÉGA CENTRE (9062-6268 QUEBEC INC.) GL: 24004,,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE!
STOCK (MR) COMPTABILISÉ MÉGA CENTRE (9062-6268 QUEBEC INC.) GL: 24004,,,,,,,,,,,,,,,,,,,,,,,,,,
🔍 Résumé,,Valeur,AFFICHÉ ONLINE,PRÉPARATION BODY,PREP MÉCANIQUE,PREP STUCTUREL,,,,,,,,,,,,,,,,,,,,
TOTAL DES VÉHICULES ACHETÉS,,95,,,,,,,,,,,,,,,,,,,,,,,,
VÉHICULE VENDU/LIVRÉ,,58,,,,,,,,,,,,,,,,,,,,,,,,
EN INVENTAIRE,,37,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
STOCK,MODÈLE,ANNÉE,6 DERNIERS NIV, COÛTANT, PAD,ACHETE DE... ,DATE,VENDU,LIVRÉ,FACTURE,,ONGLETS,,FACTURE MÉCANIQUE,,FACTURE BODY,,FACTURE AUTRE,,AUTRES FRAIS,, TOTAL COST, VENTE,PROFIL/ PERTE,DATE J/M/A,
,,,,,,,ACHAT,,,LIEN,TOTAL,FACTURE,MONTANT,NO FACTURE,MONTANT,NO FACTURE, MONTANT,NO FACTURE, MONTANT,FACTURES AUTRES, MONTANT,,,,VENTE,
MR046,C30,2010,180902,"  3 000,00 $ ","  100,00 $ ",HYUNDAI TROIS-RIVIÈRES,25 juillet 2025,TRUE,FALSE,FALSE,FALSE,#ERROR!,,chez raf 4926,"  922,83 $ ",j leblanc 464153,"  393,99 $ ",g g alte 7896,"  110,00 $ ",,,"  4 526,82 $ ","  6 495,00 $ ","  1 968,18 $ ",,
MR047,MAZDA2,2012,150721,"  1 850,00 $ ","  100,00 $ ",NISSAN SHAWINIGAN,25 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,MEC ST BO 019763,"  542,48 $ ",maga cen 23217,"  100,00 $ ",,,point s ,"  200,00 $ ","  2 792,48 $ ","  5 250,00 $ ","  2 457,52 $ ",15 aout 2025,
MR048,ELANTRA,2010,177577,"  1 000,00 $ ",  -   $ ,VOLVO TROIS-RIVIÈRES,28 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,chez raf 4928,"  560,99 $ ",slemire 18310,"  100,00 $ ",jean lebla 464217  ,"  186,37 $ ",christian est auto 103748,"  1 024,00 $ ","  2 871,36 $ ","  5 795,00 $ ","  2 923,64 $ ",5 septembre 2025,
MR049,TUCSON,2022,069943,"  26 180,00 $ ",  -   $ ,HYUNDAI TROIS-RIVIÈRES,28 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,EXODE AUTO 4276,"  2 820,00 $ ",LOGISTECK 6943,"  850,00 $ ",X BOSS 28842,"  200,00 $ ",,,"  30 050,00 $ ","  33 995,00 $ ","  3 945,00 $ ",27 aout 2025,
MR050,F250,2011,B54983,"  18 000,00 $ ",  -   $ ,HYUNDAI TROIS-RIVIÈRES,29 juillet 2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,point s 7404,"  1 298,85 $ ",jean lebla 463617 ,"  658,08 $ ",,,"  19 956,93 $ ","  24 955,00 $ ","  4 998,07 $ ",,
MR051,SANTA FE,2014,176529,"  10 500,00 $ ",  -   $ ,HYUNDAI TROIS-RIVIÈRES,28 juillet 2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  10 500,00 $ ","  13 995,00 $ ","  3 495,00 $ ",,
MR052,RIO,2016,640662,"  7 000,00 $ ","  100,00 $ ",ACHAT PORTE,28 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,, mbf 25888,"  300,77 $ ",,,,,,,"  7 400,77 $ ","  9 995,00 $ ","  2 594,23 $ ","26 aout 2025,",
MR053,A5,2012,002389,"  6 000,00 $ ",,ACHAT PORTE,28 juillet 2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,debo st-bo,"  900,00 $ ",rem gelnas 12229,"  65,00 $ ",REMB GELINAS 12224 12,"  460,00 $ ","  7 425,00 $ ","  11 495,00 $ ","  4 070,00 $ ",,
MR054,VERSA,2007,979964,"  1 500,00 $ ","  100,00 $ ",ACHAT PORTE,28 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  1 600,00 $ ","  2 995,00 $ ","  1 395,00 $ ",14aout 2025,
MR055,CARAVAN,2012,370926,"  5 345,00 $ ",,ACHAT PORTE,31 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  5 345,00 $ ","  6 995,00 $ ","  1 650,00 $ ",26 septembre 2025,
MR056,MAZDA 6,2014,114091,"  3 050,00 $ ",,NISSAN SHAWINIGAN,29 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,, chez raf 4930,"  582,42 $ ",debo st-b0 1826736,"  900,00 $ ",black fox 20251874  ,"  185,00 $ ",entrepot du pneu 293795,"  406,00 $ ","  5 123,42 $ ","  8 995,00 $ ","  3 871,58 $ ",22 aout 2025,
MR057,SENTRA,2018,327430,"  7 000,00 $ ",,NISSAN SHAWINIGAN,29 juillet 2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,, retoucheurs 26196,"  240,16 $ ",,,,,,,"  7 240,16 $ ","  11 995,00 $ ","  4 754,84 $ ",,
MR058,FIT,2014,004439,"  1 300,00 $ ","  100,00 $ ",MAZDA TROIS-RIVIÈRES,30 juillet 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  1 400,00 $ ","  5 995,00 $ ","  4 595,00 $ ",14-aout 2025,
MR059,mazda cx7,2011,382779,"  2 000,00 $ ",,KIA TROIS-RIVIÈRES, 5 aout 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,, mbf 25863 ,"  703,89 $ ",,,,,,,"  2 703,89 $ ","  5 495,00 $ ","  2 791,11 $ ",21 aout 2025,
MR060,SEDONA,2020,568677,"  3 000,00 $ ",  -   $ ,KIA TROIS-RIVIÈRES,2025-08-06,TRUE,TRUE,FALSE,FALSE,,"0,00 $",,  -   $ ,,  -   $ ,,  -   $ ,,  -   $ ,"  3 000,00 $ ","  3 000,00 $ ",  -   $ ,4 septembre 2025,
MR061,SORENTO,2013,411494,"  3 000,00 $ ",,KIA TROIS-RIVIÈRES, 7 aout 2025,FALSE,FALSE,FALSE,FALSE,#ERROR!,,,,,,,,,,"  3 000,00 $ ","  5 995,00 $ ","  2 995,00 $ ",,
MR062,FJCRUISER,2007,097398,"  14 500,00 $ ","  100,00 $ ",KIA TROIS-RIVIÈRES, 7 aout 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,, maga cen 22964,"  150,00 $ ",chez raf 4903,"  89,99 $ ",point s 7382,"  219,39 $ ",x bosse 28870,"  250,00 $ ","  15 309,38 $ ","  19 995,00 $ ","  4 685,62 $ ",14 aout 2025,
MR063,escape se,2017,a05996,"  9 000,00 $ ",,KIA TROIS-RIVIÈRES,12 aout 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,, retoucheurs 26194,"  275,00 $ ",chez raf 4938,"  1 869,76 $ ",,,,,"  11 144,76 $ ","  12 450,00 $ ","  1 305,24 $ ",17 septembre 2025,
MR064,escape se,2014,a16875,"  6 700,00 $ ","  100,00 $ ",KIA TROIS-RIVIÈRES,12 aout 2025,TRUE,TRUE,FALSE,FALSE,#ERROR!,, chez raf 4911,"  327,71 $ ",,,,,,,"  7 127,71 $ ","  9 995,00 $ ","  2 867,29 $ ",22 aout 2025,
